emission_id,shipment_id,co2_kg,fuel_consumption_l,reduction_vs_road_kg,sustainability_score
1,1,32.21,12.02,12.88,0.76
2,2,106.91,39.89,42.76,0.68
3,3,160.59,59.92,64.24,0.9
4,4,298.77,111.48,119.51,0.62
5,5,128.1,47.8,51.24,0.78
6,6,208.99,77.98,83.6,0.63
7,7,0.24,0.09,0.1,0.62
8,8,284.94,106.32,113.98,0.69
9,9,68.15,25.43,27.26,0.79
10,10,39.37,14.69,15.75,0.85
11,11,144.16,53.79,57.66,0.73
12,12,38.4,14.33,15.36,0.72
13,13,48.7,18.17,19.48,0.88
14,14,101.25,37.78,40.5,0.85
15,15,85.47,31.89,34.19,0.92
16,16,172.54,64.38,69.02,0.9
17,17,188.24,70.24,75.3,0.66
18,18,54.16,20.21,21.66,0.93
19,19,61.4,22.91,24.56,0.88
20,20,475.97,177.6,190.39,0.69
21,21,353.63,131.95,141.45,0.82
22,22,136.17,50.81,54.47,0.68
23,23,78.44,29.27,31.38,0.84
24,24,9.78,3.65,3.91,0.85
25,25,15.7,5.86,6.28,0.95
26,26,74.58,27.83,29.83,0.88
27,27,64.67,24.13,25.87,0.6
28,28,194.97,72.75,77.99,0.9
29,29,166.67,62.19,66.67,0.71
30,30,289.09,107.87,115.64,0.8
31,31,29.13,10.87,11.65,0.69
32,32,477.66,178.23,191.06,0.64
33,33,365.69,136.45,146.28,0.66
34,34,443.81,165.6,177.52,0.74
35,35,174.52,65.12,69.81,0.95
36,36,66.14,24.68,26.46,0.83
37,37,93.16,34.76,37.26,0.94
38,38,448.74,167.44,179.5,0.62
39,39,260.87,97.34,104.35,0.76
40,40,142.58,53.2,57.03,0.8
41,41,361.64,134.94,144.66,0.72
42,42,85.95,32.07,34.38,0.68
43,43,273.9,102.2,109.56,0.76
44,44,254.95,95.13,101.98,0.89
45,45,104.23,38.89,41.69,0.74
46,46,286.28,106.82,114.51,0.86
47,47,47.76,17.82,19.1,0.94
48,48,181.06,67.56,72.42,0.77
49,49,0.24,0.09,0.1,0.7
50,50,199.74,74.53,79.9,0.7
51,51,231.5,86.38,92.6,0.73
52,52,180.82,67.47,72.33,0.81
53,53,202.45,75.54,80.98,0.93
54,54,139.6,52.09,55.84,0.68
55,55,59.98,22.38,23.99,0.66
56,56,75.95,28.34,30.38,0.94
57,57,80.32,29.97,32.13,0.62
58,58,137.94,51.47,55.18,0.94
59,59,85.89,32.05,34.36,0.87
60,60,82.81,30.9,33.12,0.68
61,61,383.29,143.02,153.32,0.71
62,62,136.09,50.78,54.44,0.61
63,63,388.76,145.06,155.5,0.81
64,64,272.18,101.56,108.87,0.91
65,65,52.53,19.6,21.01,0.62
66,66,92.67,34.58,37.07,0.67
67,67,24.84,9.27,9.94,0.82
68,68,146.65,54.72,58.66,0.77
69,69,54.78,20.44,21.91,0.86
70,70,331.09,123.54,132.44,0.8
71,71,84.82,31.65,33.93,0.66
72,72,165.28,61.67,66.11,0.89
73,73,151.07,56.37,60.43,0.63
74,74,265.61,99.11,106.24,0.92
75,75,147.21,54.93,58.88,0.73
76,76,222.95,83.19,89.18,0.83
77,77,251.76,93.94,100.7,0.88
78,78,170.77,63.72,68.31,0.66
79,79,64.8,24.18,25.92,0.69
80,80,252.4,94.18,100.96,0.84
81,81,254.17,94.84,101.67,0.7
82,82,94.01,35.08,37.6,0.67
83,83,477.63,178.22,191.05,0.67
84,84,261.68,97.64,104.67,0.77
85,85,90.56,33.79,36.22,0.7
86,86,55.93,20.87,22.37,0.73
87,87,310.8,115.97,124.32,0.77
88,88,282.9,105.56,113.16,0.63
89,89,32.99,12.31,13.2,0.84
90,90,59.76,22.3,23.9,0.76
91,91,161.95,60.43,64.78,0.94
92,92,267.62,99.86,107.05,0.83
93,93,75.12,28.03,30.05,0.66
94,94,527.34,196.77,210.94,0.88
95,95,38.62,14.41,15.45,0.74
96,96,251.44,93.82,100.58,0.89
97,97,117.6,43.88,47.04,0.77
98,98,166.59,62.16,66.64,0.8
99,99,128.35,47.89,51.34,0.88
100,100,154.77,57.75,61.91,0.61
101,101,351.62,131.2,140.65,0.66
102,102,66.92,24.97,26.77,0.6
103,103,227.32,84.82,90.93,0.86
104,104,112.37,41.93,44.95,0.61
105,105,251.41,93.81,100.56,0.8
106,106,84.13,31.39,33.65,0.93
107,107,196.26,73.23,78.5,0.72
108,108,126.63,47.25,50.65,0.74
109,109,27.98,10.44,11.19,0.87
110,110,63.78,23.8,25.51,0.79
111,111,124.94,46.62,49.98,0.86
112,112,975.57,364.02,390.23,0.83
113,113,327.04,122.03,130.82,0.74
114,114,230.08,85.85,92.03,0.6
115,115,89.27,33.31,35.71,0.88
116,116,78.36,29.24,31.34,0.86
117,117,620.39,231.49,248.16,0.7
118,118,9.19,3.43,3.68,0.72
119,119,91.01,33.96,36.4,0.71
120,120,103.56,38.64,41.42,0.74
121,121,70.08,26.15,28.03,0.92
