port_operation_id,port_id,vessel_id,arrival_time,departure_time,waiting_hours,turnaround_hours,congestion_level,cargo_handled_tons
1,2,VSL-9935,2026-01-30,2026-01-30,2.18,11.57,3,27.76
2,11,VSL-1434,2024-02-03,2024-02-03,7.76,19.41,5,56.38
3,4,VSL-1106,2025-03-06,2025-03-06,1.81,32.38,4,55.58
4,8,VSL-2519,2024-10-12,2024-10-12,1.68,30.34,2,70.21
5,2,VSL-9785,2024-12-28,2024-12-28,0.56,46.32,1,40.61
6,8,VSL-6925,2025-07-20,2025-07-20,1.34,11.89,4,60.85
7,4,VSL-4814,2024-02-17,2024-02-17,3.79,12.18,1,1.0
8,8,VSL-4432,2025-04-11,2025-04-11,3.97,29.53,3,69.01
9,5,VSL-8573,2025-09-16,2025-09-16,0.09,11.15,4,31.84
10,5,VSL-4752,2024-08-13,2024-08-13,5.75,11.37,4,21.75
11,7,VSL-6155,2024-10-05,2024-10-05,1.77,19.18,3,51.35
12,12,VSL-3287,2025-02-11,2025-02-11,3.19,39.36,5,21.51
13,10,VSL-6930,2024-09-27,2024-09-27,3.19,14.72,2,26.98
14,3,VSL-3621,2025-05-21,2025-05-21,2.48,9.84,5,57.51
15,7,VSL-5119,2024-03-14,2024-03-14,0.16,23.17,1,37.99
16,1,VSL-6573,2025-12-02,2025-12-02,1.82,19.15,1,44.17
17,6,VSL-5315,2024-06-11,2024-06-11,0.73,9.14,3,49.73
18,3,VSL-4258,2024-04-25,2024-04-25,0.44,31.63,5,28.85
19,7,VSL-6310,2025-07-07,2025-07-07,2.29,44.12,5,24.7
20,1,VSL-1949,2025-01-08,2025-01-08,0.94,15.93,2,71.84
21,11,VSL-9727,2024-03-29,2024-03-29,2.54,34.28,1,64.77
22,4,VSL-4470,2025-07-17,2025-07-17,0.64,38.29,5,53.43
23,4,VSL-9479,2025-02-13,2025-02-13,0.45,20.61,2,29.82
24,2,VSL-4608,2024-08-19,2024-08-19,0.56,33.27,1,18.33
25,3,VSL-9423,2024-08-27,2024-08-27,1.35,36.83,2,23.07
26,6,VSL-8744,2024-08-09,2024-08-09,0.23,16.78,1,32.39
27,9,VSL-7735,2024-07-17,2024-07-17,1.33,8.38,5,36.46
28,1,VSL-5073,2024-03-04,2024-03-04,2.63,17.85,4,62.23
29,5,VSL-2235,2025-04-07,2025-04-07,1.85,43.86,4,67.89
30,10,VSL-2528,2024-02-22,2024-02-22,0.58,37.36,1,65.1
31,3,VSL-3697,2025-05-13,2025-05-13,2.01,13.55,5,19.84
32,1,VSL-8973,2024-09-29,2024-09-29,2.65,8.57,3,71.99
33,5,VSL-6138,2024-08-11,2024-08-11,1.46,10.99,3,66.25
34,2,VSL-9320,2025-05-09,2025-05-09,2.32,18.77,2,77.12
35,4,VSL-5033,2025-09-02,2025-09-02,3.28,26.56,4,57.23
36,11,VSL-6183,2025-09-30,2025-09-30,0.17,31.12,5,37.1
37,4,VSL-8491,2024-09-03,2024-09-03,0.03,18.34,2,49.28
38,2,VSL-9808,2025-04-16,2025-04-16,0.63,47.18,5,81.29
39,10,VSL-7054,2024-05-16,2024-05-16,0.56,34.42,5,51.74
40,3,VSL-9666,2025-07-12,2025-07-12,0.59,9.34,5,44.02
41,12,VSL-5333,2024-11-03,2024-11-03,0.13,44.9,3,79.56
42,3,VSL-4335,2024-06-09,2024-06-09,0.2,40.92,1,39.63
43,12,VSL-2512,2025-06-02,2025-06-02,1.57,24.15,2,60.03
44,7,VSL-5291,2024-02-19,2024-02-19,11.62,43.42,3,73.16
45,9,VSL-3442,2025-12-24,2025-12-24,0.55,31.15,5,51.94
46,1,VSL-6974,2025-08-23,2025-08-23,0.34,31.1,4,69.37
47,7,VSL-7658,2025-12-05,2025-12-05,0.27,32.35,3,35.96
48,3,VSL-1406,2024-06-16,2024-06-16,7.19,30.43,1,43.45
49,7,VSL-2771,2025-11-21,2025-11-21,0.27,39.59,4,1.0
50,1,VSL-4728,2024-08-16,2024-08-16,0.81,9.95,3,56.91
51,1,VSL-5573,2025-02-13,2025-02-13,2.13,40.88,5,59.06
52,12,VSL-1452,2025-02-15,2025-02-15,1.32,45.13,2,46.68
