shipment_id,vessel_id,origin_port_id,destination_port_id,corridor_id,cargo_type_id,shipment_date,arrival_date,cargo_weight_tons,distance_km,revenue_eur,fuel_consumption_l,delay_hours,on_time_flag
1,VSL-9935,11,2,4,1,2026-01-29,2026-01-30,27.76,353.95,1458.79,12.02,0.0,1
2,VSL-1434,2,11,4,4,2024-02-02,2024-02-03,56.38,580.6,2935.12,39.89,0.0,1
3,VSL-1106,9,4,1,5,2025-03-05,2025-03-06,55.58,678.32,2914.66,59.92,6.16,0
4,VSL-2519,3,8,5,3,2024-10-11,2024-10-12,70.21,811.26,3672.75,111.48,0.0,1
5,VSL-9785,7,2,4,3,2024-12-18,2024-12-28,40.61,651.27,2160.75,47.8,0.0,1
6,VSL-6925,2,8,4,1,2025-07-19,2025-07-20,60.85,786.9,3199.88,77.98,1.01,0
7,VSL-4814,10,4,1,1,2024-02-16,2024-02-17,1.0,50.0,60.0,0.09,1.72,0
8,VSL-4432,2,8,4,3,2025-04-09,2025-04-11,69.01,1128.79,3676.26,106.32,0.0,1
9,VSL-8573,11,5,2,1,2025-09-15,2025-09-16,31.84,520.58,1696.12,25.43,0.0,1
10,VSL-4752,7,5,5,5,2024-08-12,2024-08-13,21.75,366.4,1160.78,14.69,0.0,1
11,VSL-6155,1,7,1,4,2024-10-01,2024-10-05,51.35,547.49,2677.0,53.79,0.0,1
12,VSL-3287,4,12,5,4,2025-02-09,2025-02-11,21.51,405.4,1156.58,14.33,0.0,1
13,VSL-6930,4,10,1,5,2024-09-26,2024-09-27,26.98,471.34,1443.27,18.17,0.0,1
14,VSL-3621,4,3,5,5,2025-05-20,2025-05-21,57.51,627.38,3000.98,37.78,0.0,1
15,VSL-5119,11,7,5,5,2024-03-06,2024-03-14,37.99,526.07,2004.71,31.89,0.0,1
16,VSL-6573,9,1,1,1,2025-11-29,2025-12-02,44.17,832.51,2375.0,64.38,0.0,1
17,VSL-5315,2,6,4,4,2024-06-10,2024-06-11,49.73,722.94,2631.09,70.24,0.17,1
18,VSL-4258,9,3,5,5,2024-04-18,2024-04-25,28.85,539.64,1550.43,20.21,0.0,1
19,VSL-6310,3,7,5,2,2025-07-06,2025-07-07,24.7,482.51,1331.5,22.91,3.67,0
20,VSL-1949,8,1,1,1,2025-01-06,2025-01-08,71.84,1349.67,3861.93,177.6,0.0,1
21,VSL-9727,4,11,5,1,2024-03-28,2024-03-29,64.77,1121.76,3462.85,131.95,0.46,1
22,VSL-4470,3,4,5,4,2025-07-16,2025-07-17,53.43,622.53,2796.01,50.81,0.0,1
23,VSL-9479,9,4,1,3,2025-02-12,2025-02-13,29.82,594.95,1609.99,29.27,0.0,1
24,VSL-4608,8,2,4,2,2024-08-18,2024-08-19,18.33,195.04,955.51,3.65,0.0,1
25,VSL-9423,1,3,3,1,2024-08-22,2024-08-27,23.07,246.25,1202.75,5.86,0.0,1
26,VSL-8744,4,6,1,4,2024-08-07,2024-08-09,32.39,498.56,1719.21,27.83,0.76,0
27,VSL-7735,4,9,1,4,2024-07-13,2024-07-17,36.46,398.99,1902.8,24.13,0.0,1
28,VSL-5073,8,1,1,1,2024-03-03,2024-03-04,62.23,872.85,3286.07,72.75,8.45,0
29,VSL-2235,4,5,5,5,2025-04-04,2025-04-07,67.89,774.07,3549.31,62.19,0.0,1
30,VSL-2528,8,10,1,1,2024-02-21,2024-02-22,65.1,1075.55,3470.11,107.87,0.0,1
31,VSL-3697,4,3,5,4,2025-05-12,2025-05-13,19.84,293.9,1050.78,10.87,0.33,1
32,VSL-8973,7,1,1,4,2024-09-28,2024-09-29,71.99,1386.9,3876.88,178.23,0.0,1
33,VSL-6138,3,5,5,3,2024-08-10,2024-08-11,66.25,1304.27,3573.35,136.45,0.0,1
34,VSL-9320,1,2,3,5,2025-05-03,2025-05-09,77.12,1159.0,4087.8,165.6,0.0,1
35,VSL-5033,2,4,4,1,2025-09-01,2025-09-02,57.23,611.19,2983.74,65.12,0.0,1
36,VSL-6183,10,11,5,1,2025-09-26,2025-09-30,37.1,401.42,1935.28,24.68,0.0,1
37,VSL-8491,5,4,5,3,2024-09-01,2024-09-03,49.28,623.69,2588.74,34.76,0.0,1
38,VSL-9808,6,2,4,1,2025-04-14,2025-04-16,81.29,1317.84,4328.07,167.44,0.0,1
39,VSL-7054,4,10,1,3,2024-05-15,2024-05-16,51.74,1000.27,2787.05,97.34,1.89,0
40,VSL-9666,5,3,5,4,2025-07-10,2025-07-12,44.02,749.9,2350.98,53.2,11.91,0
41,VSL-5333,1,12,3,5,2024-11-02,2024-11-03,79.56,1536.91,4285.38,134.94,1.3,0
42,VSL-4335,2,3,4,5,2024-06-08,2024-06-09,39.63,504.23,2082.35,32.07,0.0,1
43,VSL-2512,11,12,2,3,2025-06-01,2025-06-02,60.03,893.57,3180.21,102.2,10.26,0
44,VSL-5291,11,7,5,3,2024-02-15,2024-02-19,73.16,734.19,3804.84,95.13,0.0,1
45,VSL-3442,3,9,5,5,2025-12-23,2025-12-24,51.94,741.54,2745.31,38.89,0.0,1
46,VSL-6974,9,1,1,3,2025-08-19,2025-08-23,69.37,1076.99,3683.9,106.82,0.0,1
47,VSL-7658,1,7,1,2,2025-11-29,2025-12-05,35.96,449.33,1887.87,17.82,0.0,1
48,VSL-1406,10,3,5,2,2024-06-15,2024-06-16,43.45,858.66,2344.23,67.56,2.79,0
49,VSL-2771,3,7,5,4,2025-11-16,2025-11-21,1.0,50.0,60.0,0.09,0.0,1
50,VSL-4728,7,1,1,4,2024-08-15,2024-08-16,56.91,682.68,2982.04,74.53,0.0,1
51,VSL-5573,4,1,1,2,2025-02-12,2025-02-13,59.06,784.47,3109.89,86.38,1.95,0
52,VSL-1452,6,12,5,5,2025-02-13,2025-02-15,46.68,784.0,2490.8,67.47,0.0,1
53,VSL-8119,2,6,4,2,2025-08-17,2025-08-20,55.15,1082.34,2973.97,75.54,0.0,1
54,VSL-4114,6,7,1,4,2025-09-12,2025-09-21,48.51,962.55,2618.01,52.09,1.45,0
55,VSL-4228,5,1,3,4,2024-01-02,2024-01-04,28.55,433.94,1514.29,22.38,0.0,1
56,VSL-3041,6,8,1,1,2025-11-11,2025-11-12,30.15,579.11,1623.32,28.34,0.0,1
57,VSL-3085,12,5,2,5,2024-11-12,2024-11-14,36.82,613.75,1963.75,29.97,0.0,1
58,VSL-7653,4,8,1,4,2025-11-24,2025-11-25,50.08,875.47,2679.09,51.47,0.0,1
59,VSL-6279,9,1,1,3,2024-10-20,2024-10-27,38.51,466.04,2018.71,32.05,0.0,1
60,VSL-3780,8,9,1,4,2025-11-22,2025-11-24,41.57,504.54,2179.41,30.9,21.22,0
61,VSL-4848,11,2,4,3,2025-06-11,2025-06-12,72.86,1212.28,3885.46,143.02,0.0,1
62,VSL-2193,11,5,2,2,2024-07-22,2024-07-23,65.04,746.24,3401.25,50.78,6.51,0
63,VSL-3417,8,7,1,5,2024-07-18,2024-07-19,78.1,1342.03,4173.41,145.06,0.0,1
64,VSL-9486,11,1,3,1,2026-03-08,2026-03-10,77.85,1109.48,4114.4,101.56,0.47,1
65,VSL-8612,8,1,1,5,2024-09-12,2024-09-17,30.19,578.88,1625.28,19.6,0.0,1
66,VSL-9270,11,9,5,5,2025-09-01,2025-09-02,38.67,509.4,2035.38,34.58,0.0,1
67,VSL-5050,7,10,1,4,2024-06-11,2024-06-13,18.99,331.12,1015.72,9.27,0.0,1
68,VSL-5681,11,5,2,5,2025-05-11,2025-05-14,51.37,835.66,2735.63,54.72,0.0,1
69,VSL-7275,4,6,1,3,2024-11-23,2024-11-24,31.61,598.39,1700.18,20.44,0.0,1
70,VSL-2020,12,3,5,2,2024-03-06,2024-03-14,81.0,1146.04,4279.21,123.54,0.0,1
71,VSL-7232,4,8,1,4,2026-02-27,2026-02-28,34.33,543.81,1825.26,31.65,12.93,0
72,VSL-7865,8,1,1,3,2024-11-01,2024-11-07,43.56,763.81,2330.76,61.67,1.49,0
73,VSL-7371,9,10,1,5,2024-08-13,2024-08-16,54.55,811.83,2889.87,56.37,0.0,1
74,VSL-9751,6,12,5,4,2026-01-11,2026-01-13,76.14,887.07,3984.41,99.11,0.0,1
75,VSL-8564,1,8,1,5,2025-07-31,2025-08-01,55.2,917.98,2943.6,54.93,0.0,1
76,VSL-7211,3,1,3,3,2025-01-23,2025-01-24,65.64,871.27,3456.25,83.19,0.0,1
77,VSL-6733,5,8,5,3,2024-03-24,2024-03-25,60.44,888.65,3199.73,93.94,0.0,1
78,VSL-5051,4,12,5,1,2026-03-10,2026-03-16,55.94,1094.91,3015.98,63.72,0.0,1
79,VSL-4571,4,1,1,5,2024-06-05,2024-06-09,36.4,450.83,1910.17,24.18,0.0,1
80,VSL-3683,8,5,5,3,2024-06-20,2024-06-21,54.65,877.62,2908.02,94.18,0.0,1
81,VSL-7149,5,2,4,5,2024-01-27,2024-02-02,55.86,1077.48,3008.5,94.84,0.03,1
82,VSL-5941,7,4,1,1,2025-08-29,2025-08-30,35.71,603.72,1906.24,35.08,0.0,1
83,VSL-8018,11,10,5,1,2026-03-26,2026-03-28,70.99,1408.33,3831.17,178.22,0.0,1
84,VSL-9031,11,6,5,1,2025-06-02,2025-06-03,76.5,1260.37,4077.07,97.64,0.0,1
85,VSL-3885,2,8,4,3,2025-10-12,2025-10-15,34.98,661.67,1881.33,33.79,0.0,1
86,VSL-8136,12,9,5,3,2025-09-22,2025-09-26,27.39,495.27,1468.55,20.87,0.0,1
87,VSL-8385,12,10,5,3,2024-11-26,2024-11-29,58.49,1083.07,3141.11,115.97,0.0,1
88,VSL-6325,4,9,1,5,2025-09-16,2025-09-18,68.81,1147.88,3670.08,105.56,0.0,1
89,VSL-5526,3,9,5,2,2024-12-29,2024-12-30,22.6,406.31,1211.26,12.31,1.4,0
90,VSL-4937,9,1,1,5,2024-07-14,2024-07-24,34.56,375.19,1803.04,22.3,0.0,1
91,VSL-4986,12,8,5,4,2025-04-03,2025-04-04,55.53,995.62,2975.62,60.43,0.0,1
92,VSL-6419,5,12,2,5,2025-01-12,2025-01-16,66.54,980.31,3523.06,99.86,0.0,1
93,VSL-2958,6,9,1,3,2024-11-09,2024-11-11,44.71,559.5,2347.4,28.03,0.0,1
